bookId,Title,Author,Genre,SubGenre,Height,Publisher
224,City of Djinns,"Dalrymple, William",nonfiction,history,198,
225,India's Legal System,Nariman,nonfiction,legal,177,
227,More Tears to Cry,"Sassoon, Jean",fiction,novel,235,
228,"Ropemaker, The","Dickinson, Peter",fiction,novel,196,
229,Angels & Demons,"Brown, Dan",fiction,novel,170,
230,"Judge, The",,fiction,novel,170,
231,"Attorney, The",,fiction,novel,170,
232,"Prince, The",Machiavelli,fiction,classic,173,
233,Eyeless in Gaza,"Huxley, Aldous",fiction,novel,180,
234,Tales of Beedle the Bard,"Rowling, J K",fiction,novel,184,
235,Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel,179,
236,Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel,179,
237,Girl who played with Fire,"Larsson, Steig",fiction,novel,179,
238,Batman Handbook,,fiction,comic,270,
239,Murphy's Law,,philosophy,psychology,178,
240,Structure and Randomness,"Tao, Terence",science,mathematics,252,
241,Image Processing with MATLAB,"Eddins, Steve",tech,signal_processing,241,
242,Animal Farm,"Orwell, George",fiction,classic,180,
243,"Idiot, The","Dostoevsky, Fyodor",fiction,classic,197,
246,"Christmas Carol, A","Dickens, Charles",fiction,classic,196,
